Codebook 2020,,,,,,,,,,,,,,
Variable,Type,Description and Labels,Response Codes,Section,Availability,Template,Notes,Preserved,Handle1,Target1,Handle2,Target2,Special mapping,NaiveScale
BTUNGWTH,Num,"Calibrated natural gas usage for water heating, main and secondary, in thousand Btu, 2020",0-125687.15,End-use Model,,DHW,Numerical,1,,,,,,
BTUNGCOK,Num,"Calibrated natural gas usage for cooking (cooktops, ovens, and ranges), in thousand Btu, 2020",0-36429.48,End-use Model,,Catering,Numerical,1,,,,,,
BTUNGCDR,Num,"Calibrated natural gas usage for clothes dryers, in thousand Btu, 2020",0-22707.48,End-use Model,,Housework,Numerical,1,,,,,,
BTUNGPLHEAT,Num,"Calibrated natural gas usage for swimming pool heaters, in thousand Btu, 2020",0-183303.25,End-use Model,,DHW,Numerical,1,,,,,,
BTUNGHTBHEAT,Num,"Calibrated natural gas usage for hot tub heaters, in thousand Btu, 2020",0-16261.31,End-use Model,,DHW,Numerical,1,,,,,,
BTUNGNEC,Num,"Calibrated natural gas usage for other purposes not elsewhere classified, in thousand Btu, 2020",0-661287.23,End-use Model,,Special,Numerical,1,,,,,,
BTUNGOTH,Num,"Calibrated natural gas usage for end uses other than space heating and water heating, in thousand Btu, 2020",0-745899.26,End-use Model,,Special,Numerical,1,,,,,,
CUFEETNGSPH,Num,"Calibrated natural gas usage for space heating, main and secondary, in hundred cubic feet, 2020",0-3573.08,End-use Model,,,Numerical,1,,,,,,
CUFEETNGWTH,Num,"Calibrated natural gas usage for water heating, main and secondary, in hundred cubic feet, 2020",0-1355.09,End-use Model,,,Numerical,1,,,,,,
CUFEETNGCOK,Num,"Calibrated natural gas usage for cooking (cooktops, ovens, and ranges), in hundred cubic feet, 2020",0-358.02,End-use Model,,,Numerical,1,,,,,,
CUFEETNGCDR,Num,"Calibrated natural gas usage for clothes dryers, in hundred cubic feet, 2020",0-257.92,End-use Model,,,Numerical,1,,,,,,
CUFEETNGPLHEAT,Num,"Calibrated natural gas usage for swimming pool heaters, in hundred cubic feet, 2020",0-1788.8,End-use Model,,,Numerical,1,,,,,,
CUFEETNGHTBHEAT,Num,"Calibrated natural gas usage for hot tub heaters, in hundred cubic feet, 2020",0-157.18,End-use Model,,,Numerical,1,,,,,,
CUFEETNGNEC,Num,"Calibrated natural gas usage for other purposes not elsewhere classified, in hundred cubic feet, 2020",0-6463.65,End-use Model,,,Numerical,1,,,,,,
CUFEETNGOTH,Num,"Calibrated natural gas usage for end uses other than space heating and water heating, in hundred cubic feet, 2020",0-7290.68,End-use Model,,,Numerical,1,,,,,,
DOLNGSPH,Num,"Calibrated natural gas cost for space heating, main and secondary, in US dollars, 2020",0-4201.47,End-use Model,,,Numerical,0,,,,,,
DOLNGWTH,Num,"Calibrated natural gas cost for water heating, main and secondary, in US dollars, 2020",0-3341.66,End-use Model,,,Numerical,0,,,,,,
DOLNGCOK,Num,"Calibrated natural gas cost for cooking (cooktops, ovens, and ranges), in US dollars, 2020",0-832.6,End-use Model,,,Numerical,0,,,,,,
DOLNGCDR,Num,"Calibrated natural gas cost for clothes dryers, in US dollars, 2020",0-370.71,End-use Model,,,Numerical,0,,,,,,
DOLNGPLHEAT,Num,"Calibrated natural gas cost for swimming pool heaters, in US dollars, 2020",0-1906.65,End-use Model,,,Numerical,0,,,,,,
DOLNGHTBHEAT,Num,"Calibrated natural gas cost for hot tub heaters, in US dollars, 2020",0-191.77,End-use Model,,,Numerical,0,,,,,,
DOLNGNEC,Num,"Calibrated natural gas cost for other purposes not elsewhere classified, in US dollars, 2020",0-4752.57,End-use Model,,,Numerical,0,,,,,,
DOLNGOTH,Num,"Calibrated natural gas cost for end uses other than space heating and water heating, in US dollars, 2020",0-5360.67,End-use Model,,,Numerical,0,,,,,,
GALLONLP,Num,"Total propane use, in gallons, 2020",0-3982.57,End-use Model,,,Numerical,0,,,,,,
BTULP,Num,"Total propane use, in thousand Btu, 2020",0-364215.39,End-use Model,,,Numerical,1,,,,,,
DOLLARLP,Num,"Total propane cost, in dollars, 2020",0-6621.44,End-use Model,,,Numerical,0,,,,,,
LPXBTU,Num,Conversion factor from gallons of propane to thousand Btu,"91.45 With propane use
-2 Not applicable, no propane use",End-use Model,,,Numerical,0,,,,,,
PERIODLP,Num,Number of days covered by Energy Supplier Survey propane delivery data and used to calculate annual consumption and expenditures,"1  366 days or more 
2  At least 1, but fewer than 366 days
5  No delivery data collected or delivery data not used
-2 Not applicable, no propane use",End-use Model,,,Numerical,0,,,,,,
ZLPAMOUNT,Num,Imputation flag for total propane use,"0 Not imputed
1 Imputed amount and cost
-2 Not applicable, no propane use",End-use Model,,,Categorical,0,,,,,,
BTULPSPH,Num,"Calibrated propane usage for space heating, main and secondary, in thousand Btu, 2020",0-336569.68,End-use Model,,Heating,Numerical,1,,,,,,
BTULPWTH,Num,"Calibrated propane usage for water heating, main and secondary,  in thousand Btu, 2020",0-45679.06,End-use Model,,DHW,Numerical,1,,,,,,
BTULPCOK,Num,"Calibrated propane usage for cooking (cooktops, ovens, and ranges), in thousand Btu, 2020",0-12061.04,End-use Model,,Catering,Numerical,1,,,,,,
BTULPCDR,Num,"Calibrated propane usage for clothes dryers, in thousand Btu, 2020",0-9343.22,End-use Model,,Housework,Numerical,1,,,,,,
BTULPNEC,Num,"Calibrated propane usage for other purposes not elsewhere classified, in thousand Btu, 2020",0-144340.11,End-use Model,,Special,Numerical,1,,,,,,
BTULPOTH,Num,"Calibrated propane usage for end uses other than space heating and water heating, in thousand Btu, 2020",0-144340.11,End-use Model,,Special,Numerical,1,,,,,,
GALLONLPSPH,Num,"Calibrated propane usage for space heating, main and secondary, in gallons, 2020",0-3680.27,End-use Model,,,Numerical,0,,,,,,
GALLONLPWTH,Num,"Calibrated propane usage for water heating, main and secondary, in gallons, 2020",0-499.48,End-use Model,,,Numerical,0,,,,,,
GALLONLPCOK,Num,"Calibrated propane usage for cooking (cooktops, ovens, and ranges), in gallons, 2020",0-131.88,End-use Model,,,Numerical,0,,,,,,
GALLONLPCDR,Num,"Calibrated propane usage for clothes dryers, in gallons, 2020",0-102.16,End-use Model,,,Numerical,0,,,,,,
GALLONLPNEC,Num,"Calibrated propane usage for other purposes not elsewhere classified, in gallons, 2020",0-1578.31,End-use Model,,,Numerical,0,,,,,,
GALLONLPOTH,Num,"Calibrated propane usage for end uses other than space heating and water heating, in gallons, 2020",0-1578.31,End-use Model,,,Numerical,0,,,,,,
DOLLPSPH,Num,"Calibrated propane cost for space heating, main and secondary, in US dollars, 2020",0-6118.84,End-use Model,,,Numerical,0,,,,,,
DOLLPWTH,Num,"Calibrated propane cost for water heating, main and secondary, in US dollars, 2020",0-1847.33,End-use Model,,,Numerical,0,,,,,,
DOLLPCOK,Num,"Calibrated propane cost for cooking (cooktops, ovens, and ranges), in US dollars, 2020",0-681.43,End-use Model,,,Numerical,0,,,,,,
DOLLPCDR,Num,"Calibrated propane cost for clothes dryers, in US dollars, 2020",0-268.04,End-use Model,,,Numerical,0,,,,,,
DOLLPNEC,Num,"Calibrated propane cost for other purposes not elsewhere classified, in US dollars, 2020",0-3233.35,End-use Model,,,Numerical,0,,,,,,
DOLLPOTH,Num,"Calibrated propane cost for space heating, in US dollars, 2020",0-3233.35,End-use Model,,,Numerical,0,,,,,,
GALLONFO,Num,"Total fuel oil/kerosene use, in gallons, 2020",0-3102.82,End-use Model,,,Numerical,0,,,,,,
BTUFO,Num,"Total fuel oil/kerosene use, in thousand Btu, 2020",0-426268.5,End-use Model,,,Numerical,1,,,,,,
DOLLARFO,Num,"Total fuel oil/kerosene cost, in dollars, 2020",0-7003.69,End-use Model,,,Numerical,0,,,,,,
FOXBTU,Num,Conversion factor from gallons of fuel oil/kerosene to thousand Btu,"137.38 With fuel oil use
-2 Not applicable, no fuel oil/kerosene use",End-use Model,,,Numerical,0,,,,,,
PERIODFO,Num,Number of days covered by Energy Supplier Survey fuel oil/kerosene delivery data and used to calculate annual consumption and expenditures,"1  366 days or more 
2  At least 1, but fewer than 366 days
5  No delivery data collected or delivery data not used
-2 Not applicable, no fuel oil/kerosene use",End-use Model,,,Numerical,0,,,,,,
ZFOAMOUNT,Num,Imputation flag for total fuel oil/kerosene use,"0 Not imputed
1 Imputed amount and cost
-2 Not applicable, no fuel oil/kerosene use",End-use Model,,,Categorical,0,,,,,,
BTUFOSPH,Num,"Calibrated fuel oil/kerosene usage for space heating, main and secondary,  in thousand Btu, 2020",0-396395,End-use Model,,Heating,Numerical,1,,,,,,
BTUFOWTH,Num,"Calibrated fuel oil/kerosene usage for water heating, main and secondary, in thousand Btu, 2020",0-51331.07,End-use Model,,DHW,Numerical,1,,,,,,
BTUFONEC,Num,"Calibrated fuel oil/kerosene usage for other purposes not elsewhere classified, in thousand Btu, 2020",0-160524.58,End-use Model,,Special,Numerical,1,,,,,,
BTUFOOTH,Num,"Calibrated fuel oil/kerosene usage for end uses other than space heating and water heating, in thousand Btu, 2020",0-160524.58,End-use Model,,Special,Numerical,1,,,,,,
GALLONFOSPH,Num,"Calibrated fuel oil/kerosene usage for space heating, main and secondary, in gallons, 2020",0-2885.37,End-use Model,,,Numerical,0,,,,,,
GALLONFOWTH,Num,"Calibrated fuel oil/kerosene usage for water heating, main and secondary, in gallons, 2020",0-373.64,End-use Model,,,Numerical,0,,,,,,
GALLONFONEC,Num,"Calibrated fuel oil/kerosene usage for other purposes not elsewhere classified, in gallons, 2020",0-1168.46,End-use Model,,,Numerical,0,,,,,,
GALLONFOOTH,Num,"Calibrated fuel oil/kerosene usage for end uses other than space heating and water heating, in gallons, 2020",0-1168.46,End-use Model,,,Numerical,0,,,,,,
DOLFOSPH,Num,"Calibrated fuel oil/kerosene cost for space heating, main and secondary, in US dollars, 2020",0-6512.86,End-use Model,,,Numerical,0,,,,,,
DOLFOWTH,Num,"Calibrated fuel oil/kerosene cost for water heating, main and secondary, in US dollars, 2020",0-1148.18,End-use Model,,,Numerical,0,,,,,,
DOLFONEC,Num,"Calibrated fuel oil/kerosene cost for other purposes not elsewhere classified, in US dollars, 2020",0-2677.08,End-use Model,,,Numerical,0,,,,,,
DOLFOOTH,Num,"Calibrated fuel oil/kerosene usage for end uses other than space heating and water heating, in US dollars, 2020",0-2677.08,End-use Model,,,Numerical,0,,,,,,
BTUWD,Num,"Total wood use, in thousand Btu, 2020",0-500000,End-use Model,,Heating,Numerical,1,,,,,,
ZWDAMOUNT,Num,Imputation flag for total wood use,"0 Not imputed
1 Imputed amount and cost
-2 Not applicable, no fuel oil/kerosene use",End-use Model,,,Categorical,0,,,,,,
TOTALBTUSPH,Num,"Total usage for space heating including electricity, natural gas, propane, and fuel oil, in thousand Btu, 2020",0-396395,End-use Model,,,Numerical,1,,,,,,
TOTALDOLSPH,Num,"Total cost for space heating including electricity, natural gas, propane, and fuel oil, in dollars, 2020",-39.47-6512.86,End-use Model,,,Numerical,0,,,,,,
TOTALBTUWTH,Num,"Total usage for water heating including electricity, natural gas, propane, and fuel oil, in thousand Btu, 2020",0-134610.82,End-use Model,,,Numerical,1,,,,,,
TOTALDOLWTH,Num,"Total cost for water heating including electricity, natural gas, propane, and fuel oil, in dollars, 2020",-32.01-3464.08,End-use Model,,,Numerical,0,,,,,,
TOTALBTUOTH,Num,"Total usage for 'Other' including electricity, natural gas, propane, and fuel oil, in thousand Btu, 2020",115.81-909682.69,End-use Model,,,Numerical,1,,,,,,
TOTALDOLOTH,Num,"Total cost for 'Other' including electricity, natural gas, propane, and fuel oil, in dollars, 2020",-740.54-15626.76,End-use Model,,,Numerical,0,,,,,,
TOTALBTU,Num,"Total usage including electricity, natural gas, propane, and fuel oil, in thousand Btu, 2020",1182.22-1367548.13,End-use Model,,,Numerical,1,,,,,,
TOTALDOL,Num,"Total cost including electricity, natural gas, propane, and fuel oil, in dollars, 2020",-150.51-20043.41,End-use Model,,,Numerical,0,,,,,,
DBT1,Num,Dry Bulb Design Temperature (F) - temp expected to be exceeded 1% of the time,57.7-111.4,WEATHER,,,Numerical,0,,,,,,
DBT99,Num,Dry Bulb Design Temperature (F) - temp expected to be exceeded 99% of the time,-44.9-67.5,WEATHER,,,Numerical,0,,,,,,
GWT,Num,Annual average ground water temperature (F) for 2020,32.1 - 80.8,WEATHER,,,Numerical,1,,,,,,
WOODTYPE,Num,Wood type used for space heating,"1 Wood logs or split wood
2 Pellets
-2 Not applicable",SPACE HEATING,,Heating,Categorical,1,,,,,,
